DATAFLOW,LAST UPDATE,freq,nace_r2,wstatus,worktime,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Austria,2015,31.9,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Austria,2016,31.9,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Austria,2017,31.8,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Austria,2018,31.9,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Austria,2019,31.9,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Austria,2020,32.0,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Austria,2021,31.5,b,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Austria,2022,31.4,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Austria,2023,31.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Austria,2024,31.2,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bosnia and Herzegovina,2021,40.8,b,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bosnia and Herzegovina,2022,41.3,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bosnia and Herzegovina,2023,41.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bosnia and Herzegovina,2024,41.3,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Belgium,2015,33.2,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Belgium,2016,33.2,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Belgium,2017,33.7,b,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Belgium,2018,33.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Belgium,2019,33.6,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Belgium,2020,33.7,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Belgium,2021,33.4,b,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Belgium,2022,33.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Belgium,2023,33.1,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Belgium,2024,33.1,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bulgaria,2015,40.4,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bulgaria,2016,40.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bulgaria,2017,40.4,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bulgaria,2018,40.3,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bulgaria,2019,40.1,b,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bulgaria,2020,40.0,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bulgaria,2021,40.1,b,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bulgaria,2022,39.9,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bulgaria,2023,39.8,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Bulgaria,2024,39.8,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Switzerland,2015,29.2,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Switzerland,2016,29.2,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Switzerland,2017,29.3,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Switzerland,2018,29.3,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Switzerland,2019,29.2,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Switzerland,2020,29.4,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Switzerland,2021,30.2,b,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Switzerland,2022,30.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Switzerland,2023,30.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Switzerland,2024,30.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Cyprus,2015,37.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Cyprus,2016,37.4,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Cyprus,2017,37.3,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Cyprus,2018,37.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Cyprus,2019,37.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Cyprus,2020,37.3,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Cyprus,2021,37.4,b,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Cyprus,2022,37.6,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Cyprus,2023,38.1,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Cyprus,2024,38.1,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Czechia,2015,38.6,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Czechia,2016,38.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Czechia,2017,38.2,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Czechia,2018,38.2,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Czechia,2019,38.2,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Czechia,2020,38.3,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Czechia,2021,38.0,b,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Czechia,2022,37.9,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Czechia,2023,37.7,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Czechia,2024,37.5,,
ESTAT:LFSA_EWHUN2(1.0),14/04/25 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,15 years or over,Females,Hour,Germany,2015,30.4,,
