geo,Country Code,time,sex,age,contributing_family_workers_full-time,contributing_family_workers_part-time,contributing_family_workers_total,employed_persons_except_contributing_family_workers_full-time,employed_persons_except_contributing_family_workers_part-time,employed_persons_except_contributing_family_workers_total,employed_persons_except_employees_full-time,employed_persons_except_employees_part-time,employed_persons_except_employees_total,employed_persons_full-time,employed_persons_part-time,employed_persons_total,employees_full-time,employees_part-time,employees_total,self-employed_persons_full-time,self-employed_persons_part-time,self-employed_persons_total,self-employed_persons_with_employees_(employers)_full-time,self-employed_persons_with_employees_(employers)_part-time,self-employed_persons_with_employees_(employers)_total,self-employed_persons_without_employees_(own-account_workers)_full-time,self-employed_persons_without_employees_(own-account_workers)_part-time,self-employed_persons_without_employees_(own-account_workers)_total
austria,AT,2015,females,15__64,49.2,14.2,24.2,41.5,21.5,32.2,49.8,17.2,36.6,41.6,21.4,32.1,40.6,21.7,31.6,49.8,18.1,38.5,52.4,23.4,47.6,48.3,17.3,34.8
austria,AT,2015,females,15_or_over,49.1,14.2,23.1,41.6,21.3,32.0,49.7,16.7,35.4,41.6,21.1,31.9,40.6,21.6,31.5,49.8,17.7,37.8,52.4,22.4,46.9,48.2,16.9,34.2
austria,AT,2015,females,20__64,49.2,15.0,25.5,41.7,21.6,32.1,49.8,17.5,37.0,41.7,21.5,32.1,40.7,21.8,31.5,49.8,18.2,38.5,52.4,23.4,47.6,48.3,17.4,34.9
austria,AT,2015,females,25__54,48.5,15.9,31.4,41.8,22.3,32.2,49.7,18.5,38.5,41.9,22.2,32.2,40.8,22.5,31.6,49.8,18.7,39.0,52.7,24.0,48.2,48.1,18.0,35.5
austria,AT,2015,females,25__64,49.3,16.0,26.9,41.9,21.9,32.1,49.8,17.9,37.3,42.0,21.8,32.1,40.8,22.2,31.4,49.8,18.3,38.6,52.3,23.4,47.6,48.3,17.5,35.0
austria,AT,2015,females,50_or_over,49.1,15.3,22.7,42.5,20.7,32.1,50.0,16.2,34.9,42.7,20.3,31.7,40.9,21.1,31.0,50.1,16.9,39.0,51.7,21.2,45.9,49.0,15.9,35.4
austria,AT,2015,males,15__64,49.3,15.4,24.6,43.5,19.5,41.2,53.6,18.4,49.0,43.5,19.3,41.1,41.9,19.5,39.9,53.6,19.7,50.3,55.1,21.6,54.1,52.1,19.3,46.9
austria,AT,2015,males,15_or_over,50.4,15.1,23.3,43.5,18.8,41.0,53.4,17.0,46.6,43.5,18.4,40.7,41.9,18.9,39.7,53.5,18.3,49.1,55.0,20.1,53.4,52.0,17.9,45.4
austria,AT,2015,males,20__64,49.2,17.6,27.7,43.6,19.7,41.4,53.6,19.2,49.4,43.6,19.7,41.3,42.0,19.8,40.0,53.6,19.7,50.3,55.1,21.6,54.1,52.1,19.4,46.9
austria,AT,2015,males,25__64,49.9,17.9,27.8,43.9,20.5,41.9,53.6,19.5,49.7,43.9,20.4,41.8,42.2,20.6,40.4,53.7,19.9,50.5,55.2,21.5,54.2,52.1,19.6,47.2
austria,AT,2015,males,50_or_over,49.8,16.0,23.0,44.8,17.0,41.8,53.7,16.1,43.8,44.9,16.8,41.0,42.5,17.4,40.1,53.9,16.2,47.9,54.8,18.4,52.5,52.9,15.7,43.4
austria,AT,2015,total,15__64,49.2,14.7,24.4,42.8,21.1,37.0,52.4,17.6,44.3,42.8,21.0,36.9,41.5,21.3,35.9,52.5,18.6,46.0,54.5,22.8,52.5,50.8,18.0,41.7
austria,AT,2015,total,15_or_over,49.7,14.7,23.2,42.8,20.8,36.8,52.3,16.8,42.3,42.9,20.5,36.6,41.5,21.1,35.7,52.4,17.9,45.1,54.4,21.5,51.8,50.8,17.3,40.6
austria,AT,2015,total,20__64,49.2,15.9,26.3,43.0,21.3,37.0,52.4,18.1,44.7,43.0,21.2,36.9,41.6,21.5,35.9,52.5,18.7,46.1,54.5,22.8,52.5,50.8,18.1,41.7
austria,AT,2015,total,25__54,50.0,15.7,32.5,43.1,22.1,37.3,52.5,19.1,46.1,43.1,22.0,37.3,41.7,22.3,36.1,52.5,19.4,46.5,54.8,23.3,52.9,50.7,18.9,42.3
austria,AT,2015,total,25__64,49.5,16.6,27.2,43.2,21.7,37.3,52.5,18.4,45.0,43.2,21.6,37.2,41.7,21.9,36.0,52.6,18.8,46.2,54.5,22.7,52.5,50.8,18.2,41.9
austria,AT,2015,total,50_or_over,49.4,15.7,22.8,44.1,19.9,37.4,52.6,16.2,40.5,44.2,19.4,36.8,42.0,20.5,35.8,52.8,16.6,44.8,54.0,19.9,50.7,51.5,15.8,40.1
austria,AT,2016,females,15__64,51.3,14.4,24.1,41.5,21.6,32.2,49.8,17.3,36.8,41.5,21.5,32.1,40.6,21.8,31.6,49.7,18.2,38.6,52.0,22.9,48.3,48.0,17.6,34.2
austria,AT,2016,females,15_or_over,50.4,14.9,23.3,41.5,21.4,32.0,49.7,16.8,35.4,41.6,21.2,31.9,40.6,21.7,31.5,49.7,17.6,37.7,52.1,22.3,48.0,47.9,17.0,33.2
austria,AT,2016,females,20__64,51.2,14.9,25.0,41.6,21.7,32.1,49.7,17.5,37.1,41.6,21.6,32.1,40.7,22.0,31.5,49.7,18.3,38.7,52.0,22.9,48.3,48.0,17.7,34.3
austria,AT,2016,females,25__54,51.7,16.9,31.2,41.7,22.5,32.3,49.5,19.1,38.5,41.7,22.5,32.3,40.8,22.7,31.7,49.3,19.4,39.1,51.8,23.8,48.3,47.6,18.8,35.0
austria,AT,2016,females,25__64,51.2,15.6,26.2,41.8,22.1,32.2,49.8,17.9,37.4,41.9,21.9,32.1,40.8,22.3,31.5,49.7,18.5,38.9,52.0,22.9,48.3,48.1,17.9,34.6
austria,AT,2016,females,50_or_over,48.7,15.3,21.8,42.4,20.7,32.0,50.4,16.1,34.4,42.5,20.3,31.6,40.8,21.2,31.0,50.6,16.7,38.1,52.9,21.9,48.1,48.9,15.9,33.6
austria,AT,2016,males,15__64,52.5,13.9,23.4,43.5,19.7,41.1,53.8,17.9,49.3,43.5,19.4,41.0,41.9,19.7,39.6,53.8,19.6,50.7,55.5,21.0,54.6,52.1,19.4,47.2
austria,AT,2016,males,15_or_over,48.8,14.6,22.3,43.5,19.0,40.8,53.6,16.6,46.9,43.5,18.6,40.6,41.9,19.2,39.4,53.7,18.0,49.4,55.4,19.1,53.9,51.9,17.8,45.5
austria,AT,2016,males,20__64,52.5,15.4,26.4,43.6,20.0,41.2,53.8,18.6,49.7,43.6,19.8,41.2,42.0,20.0,39.7,53.8,19.7,50.8,55.5,21.1,54.6,52.1,19.5,47.3
austria,AT,2016,males,25__64,53.6,15.7,25.9,43.9,20.9,41.7,53.9,19.1,50.1,43.9,20.6,41.7,42.1,21.0,40.1,53.9,20.3,51.0,55.5,21.8,54.7,52.2,20.1,47.7
austria,AT,2016,males,50_or_over,47.8,15.3,22.4,44.6,17.2,41.5,53.4,15.6,44.0,44.6,16.8,40.8,42.3,17.7,39.7,53.7,15.9,48.1,55.7,17.8,53.7,51.3,15.5,42.7
austria,AT,2016,total,15__64,51.7,14.2,23.8,42.8,21.2,36.9,52.6,17.5,44.7,42.8,21.1,36.8,41.4,21.4,35.7,52.7,18.6,46.4,54.7,22.2,52.9,50.8,18.2,41.8
austria,AT,2016,total,15_or_over,49.7,14.8,22.8,42.8,20.9,36.7,52.5,16.7,42.7,42.8,20.7,36.5,41.4,21.2,35.6,52.6,17.7,45.3,54.6,20.8,52.4,50.7,17.3,40.5
austria,AT,2016,total,20__64,51.7,15.1,25.5,42.9,21.4,36.9,52.6,17.9,45.0,43.0,21.3,36.8,41.5,21.6,35.7,52.7,18.7,46.5,54.7,22.2,53.0,50.8,18.3,41.9
austria,AT,2016,total,25__54,52.6,16.4,30.5,43.0,22.3,37.2,52.7,19.7,46.4,43.1,22.3,37.2,41.6,22.5,36.0,52.7,20.2,47.0,54.7,23.8,53.1,50.9,19.7,42.8
austria,AT,2016,total,25__64,52.0,15.6,26.1,43.2,21.8,37.2,52.7,18.3,45.4,43.2,21.7,37.1,41.7,22.1,35.9,52.7,19.1,46.7,54.7,22.5,53.0,50.9,18.6,42.2
austria,AT,2016,total,35__49,52.0,17.8,34.6,43.5,22.8,37.2,52.9,20.0,46.8,43.5,22.8,37.2,41.8,23.0,35.8,52.9,20.2,47.3,54.5,23.2,52.9,51.6,19.8,43.3
austria,AT,2016,total,50_or_over,48.2,15.3,22.1,43.9,19.9,37.2,52.6,15.9,40.5,43.9,19.4,36.6,41.8,20.5,35.6,52.8,16.4,44.6,55.0,19.8,52.3,50.5,15.7,38.9
austria,AT,2017,females,15__64,49.4,14.6,26.0,41.4,21.6,32.1,49.3,17.6,37.1,41.5,21.4,32.0,40.6,21.7,31.5,49.3,18.5,38.8,51.5,20.1,46.9,47.6,18.2,34.8
austria,AT,2017,females,15_or_over,48.0,14.8,24.2,41.4,21.4,32.0,49.2,17.0,35.7,41.5,21.2,31.8,40.6,21.6,31.4,49.3,17.9,38.1,51.4,20.0,46.6,47.7,17.5,34.0
austria,AT,2017,females,20__64,49.5,15.3,27.2,41.5,21.7,32.1,49.3,17.8,37.4,41.6,21.6,32.0,40.6,21.9,31.5,49.3,18.5,38.8,51.5,20.1,46.9,47.6,18.2,34.8
austria,AT,2017,females,25__54,49.5,15.5,30.5,41.6,22.4,32.3,49.0,18.5,38.5,41.6,22.3,32.2,40.7,22.6,31.6,49.0,18.9,39.1,51.0,21.2,47.0,47.6,18.6,35.5
austria,AT,2017,females,25__64,49.4,15.7,27.7,41.7,22.1,32.2,49.2,18.0,37.5,41.8,21.9,32.1,40.7,22.3,31.5,49.1,18.6,38.9,51.1,20.1,46.6,47.7,18.3,35.1
austria,AT,2017,females,50_or_over,46.1,15.6,24.1,42.3,21.1,32.1,49.7,16.5,35.1,42.4,20.8,31.8,40.8,21.6,31.2,50.3,17.1,38.8,51.6,19.2,46.2,49.2,16.7,35.0
austria,AT,2017,males,15__64,52.1,13.8,25.4,43.3,20.1,40.9,53.4,18.7,49.5,43.3,19.9,40.8,41.7,20.1,39.5,53.5,20.4,50.6,55.2,24.1,54.4,51.6,19.8,46.9
austria,AT,2017,males,15_or_over,49.0,14.5,22.8,43.3,19.4,40.7,53.2,16.9,47.1,43.3,19.0,40.4,41.7,19.6,39.3,53.3,18.5,49.4,55.0,21.7,53.8,51.5,17.9,45.3
austria,AT,2017,males,20__64,52.5,15.3,28.3,43.4,20.5,41.1,53.4,19.3,49.8,43.4,20.3,41.0,41.8,20.5,39.6,53.5,20.4,50.6,55.2,24.1,54.4,51.6,19.8,46.9
