id,name,resource_type,focus_area,city,country_code,description,website
1,The Care Economy and Social Equity,Article,Care Economy Workers,Zagreb,HR,The Care Economy and Social Equity explores key issues and developments affecting care economy workers across the EU.,https://thecareeconomyandsocialequity.org
2,Diverse Families Forum,Affinity Group,Other,Vilnius,LT,Diverse Families Forum is a peer-led network in Vilnius offering advocacy and community building for other.,https://diversefamiliesforum.org
3,Modern Stay-at-Home Parenting,Article,Stay-at-Home Parents,Athens,GR,Modern Stay-at-Home Parenting explores key issues and developments affecting stay-at-home parents across the EU.,https://modernstay-at-homeparenting.org
4,WomenLead EU,Affinity Group,Women in Leadership,Riga,LV,WomenLead EU is a peer-led network in Riga offering advocacy and community building for women in leadership.,https://womenleadeu.org
5,The Adoption Journey Across Europe,Article,Adoptive Families,Budapest,HU,The Adoption Journey Across Europe explores key issues and developments affecting adoptive families across the EU.,https://theadoptionjourneyacrosseurope.org
6,SoloCare Foundation,Charity,Single Parents,Brussels,BE,SoloCare Foundation is a non-profit in Brussels that provides direct support and resources for single parents.,https://solocarefoundation.org
7,Hands That Help Circle,Affinity Group,Care Economy Workers,Warsaw,PL,Hands That Help Circle is a peer-led network in Warsaw offering advocacy and community building for care economy workers.,https://handsthathelpcircle.org
8,Breaking Barriers: Women in Leadership,Article,Women in Leadership,Paris,FR,Breaking Barriers: Women in Leadership explores key issues and developments affecting women in leadership across the EU.,https://breakingbarriers:womeninleadership.org
9,EU Solo Parents Network,Affinity Group,Single Parents,Paris,FR,EU Solo Parents Network is a peer-led network in Paris offering advocacy and community building for single parents.,https://eusoloparentsnetwork.org
10,CommunityBridge,Charity,Other,Berlin,DE,CommunityBridge is a non-profit in Berlin that provides direct support and resources for other.,https://communitybridge.org
11,Diverse Families Forum,Affinity Group,Other,Warsaw,PL,Diverse Families Forum is a peer-led network in Warsaw offering advocacy and community building for other.,https://diversefamiliesforum.org
12,FosterTogether,Charity,Foster Families,Berlin,DE,FosterTogether is a non-profit in Berlin that provides direct support and resources for foster families.,https://fostertogether.org
13,Hands That Help Circle,Affinity Group,Care Economy Workers,Amsterdam,NL,Hands That Help Circle is a peer-led network in Amsterdam offering advocacy and community building for care economy workers.,https://handsthathelpcircle.org
14,ParentOne Support Fund,Charity,Single Parents,Helsinki,FI,ParentOne Support Fund is a non-profit in Helsinki that provides direct support and resources for single parents.,https://parentonesupportfund.org
15,FosterTogether,Charity,Foster Families,Zagreb,HR,FosterTogether is a non-profit in Zagreb that provides direct support and resources for foster families.,https://fostertogether.org
16,Balancing Work and Family Life in Europe,Article,Working Parents,Stockholm,SE,Balancing Work and Family Life in Europe explores key issues and developments affecting working parents across the EU.,https://balancingworkandfamilylifeineurope.org
17,Balanced Life Aid,Charity,Working Parents,Helsinki,FI,Balanced Life Aid is a non-profit in Helsinki that provides direct support and resources for working parents.,https://balancedlifeaid.org
18,SupportAtHome,Charity,Stay-at-Home Parents,Berlin,DE,SupportAtHome is a non-profit in Berlin that provides direct support and resources for stay-at-home parents.,https://supportathome.org
19,Diverse Families Forum,Affinity Group,Other,Amsterdam,NL,Diverse Families Forum is a peer-led network in Amsterdam offering advocacy and community building for other.,https://diversefamiliesforum.org
20,FamilyRoots Fund,Charity,Foster Families,Brussels,BE,FamilyRoots Fund is a non-profit in Brussels that provides direct support and resources for foster families.,https://familyrootsfund.org
21,FosterTogether,Charity,Foster Families,Madrid,ES,FosterTogether is a non-profit in Madrid that provides direct support and resources for foster families.,https://fostertogether.org
22,Kinship EU,Affinity Group,Foster Families,Berlin,DE,Kinship EU is a peer-led network in Berlin offering advocacy and community building for foster families.,https://kinshipeu.org
23,AdoptEU Group,Affinity Group,Adoptive Families,Tallinn,EE,AdoptEU Group is a peer-led network in Tallinn offering advocacy and community building for adoptive families.,https://adopteugroup.org
24,Kinship EU,Affinity Group,Foster Families,Madrid,ES,Kinship EU is a peer-led network in Madrid offering advocacy and community building for foster families.,https://kinshipeu.org
25,Adoptive Angels,Charity,Adoptive Families,Madrid,ES,Adoptive Angels is a non-profit in Madrid that provides direct support and resources for adoptive families.,https://adoptiveangels.org
26,Challenges Faced by Single Parents in the EU,Article,Single Parents,Dublin,IE,Challenges Faced by Single Parents in the EU explores key issues and developments affecting single parents across the EU.,https://challengesfacedbysingleparentsintheeu.org
