daycare_id,enrollment,year,staff,monthly_budget,percent_budget_used,monthly_price,opening_time,closing_time
1,71,2015,10,31439.31,75.21,518,6:15,16:45
1,33,2016,3,14586.75,89.17,434,6:15,16:45
1,87,2017,14,56427,93.21,749,6:15,16:45
1,61,2018,8,43705.55,81.76,742,6:15,16:45
1,21,2019,3,5348.18,85,218,6:15,16:45
1,43,2020,4,12910.95,90.63,294,6:15,16:45
1,35,2021,5,21218.98,80.88,648,6:15,16:45
1,71,2022,8,51866.9,78.37,740,6:15,16:45
1,50,2023,5,33384.71,99.95,786,6:15,16:45
1,47,2024,4,30717.68,76.99,744,6:15,16:45
1,90,2025,12,65329.57,98.08,637,6:15,16:45
2,55,2015,6,50546.15,94.9,790,8:30,19:15
2,64,2016,7,27323.87,93.37,447,8:30,19:15
2,27,2017,2,15984.92,87.71,551,8:30,19:15
2,88,2018,14,48017.98,94.95,512,8:30,19:15
2,63,2019,7,30789.71,74.31,484,8:30,19:15
2,92,2020,15,66669.37,71.54,710,8:30,19:15
2,39,2021,5,28092.24,93.41,606,8:30,19:15
2,79,2022,11,50106.91,90.45,705,8:30,19:15
2,38,2023,3,12932.67,81.1,314,8:30,19:15
2,80,2024,13,59367.27,79.91,781,8:30,19:15
2,46,2025,7,18788.31,93.58,487,8:30,19:15
3,94,2015,10,52973.44,97.35,638,9:45,20:15
3,80,2016,8,48168.2,95.87,535,9:45,20:15
3,40,2017,4,13596.21,83.41,340,9:45,20:15
3,59,2018,6,17300.72,88.12,348,9:45,20:15
3,87,2019,10,46013.67,89.53,604,9:45,20:15
3,57,2020,5,17242.97,91.39,317,9:45,20:15
3,31,2021,3,19176.43,84.11,634,9:45,20:15
3,95,2022,13,26842.17,90.34,351,9:45,20:15
3,21,2023,2,7043.51,85.9,410,9:45,20:15
3,79,2024,13,38945.34,99.38,512,9:45,20:15
3,99,2025,16,33240.55,97.86,328,9:45,20:15
4,26,2015,3,11143.05,98.28,419,7:30,19:15
4,33,2016,3,15491.79,78.85,456,7:30,19:15
4,71,2017,10,38851.88,84.66,623,7:30,19:15
4,58,2018,6,30964.36,97.76,625,7:30,19:15
4,32,2019,3,7418.52,79.38,203,7:30,19:15
4,69,2020,6,33199.71,77.9,436,7:30,19:15
4,43,2021,7,7506.16,90.39,201,7:30,19:15
4,95,2022,10,69359.63,83.77,795,7:30,19:15
4,32,2023,3,6762.87,90.27,242,7:30,19:15
4,91,2024,11,25568.23,92.25,324,7:30,19:15
4,63,2025,7,37117.17,84.58,696,7:30,19:15
5,59,2015,9,39196.48,78.05,790,6:30,18:00
5,69,2016,6,37989.76,78.26,482,6:30,18:00
5,91,2017,9,77213.11,74.36,779,6:30,18:00
5,23,2018,2,16882.64,96.04,671,6:30,18:00
5,97,2019,9,46665.16,94.18,545,6:30,18:00
5,48,2020,8,35510.2,85.75,666,6:30,18:00
5,28,2021,4,19877.89,79.21,790,6:30,18:00
