id,law_name,focus_area,country_code,year,description
1,Housing Support Directive 2020,Parental leave (lump-sum),GR,2024,The Housing Support Directive 2020 was enacted in 2024 in Greece to This regulation provided lump-sum payments to parents taking extended leave from work.
2,Social Protection Improvement Act Regulation,Parental leave (periodic),IT,2024,The Social Protection Improvement Act Regulation was enacted in 2024 in Italy to It introduced monthly support payments for parents on long-term parental leave.
3,Lump-Sum Grant Law Framework,Parental leave (lump-sum),GR,2016,The Lump-Sum Grant Law Framework was enacted in 2016 in Greece to This regulation provided lump-sum payments to parents taking extended leave from work.
4,Housing Support Directive Regulation,Home-based support,BE,2015,The Housing Support Directive Regulation was enacted in 2015 in Belgium to The law provided in-home assistance services for caregiving families.
5,Early Childhood Services Act Regulation,Childcare services,FR,2021,The Early Childhood Services Act Regulation was enacted in 2021 in France to This directive expanded public childcare options and raised quality standards across providers.
6,Work-Life Balance Law 2020,Childcare services,IE,2020,The Work-Life Balance Law 2020 was enacted in 2020 in Ireland to This directive expanded public childcare options and raised quality standards across providers.
7,Birth Grant Regulation Regulation,Cash periodic,FR,2021,The Birth Grant Regulation Regulation was enacted in 2021 in France to This act established regular cash distributions to support long-term family care needs.
8,Adoption Support Act Amendment,Birth grants,DK,2025,The Adoption Support Act Amendment was enacted in 2025 in Denmark to The law increased financial grants awarded to families upon the birth of a child.
9,Family Support Act Initiative,Cash periodic,PT,2024,The Family Support Act Initiative was enacted in 2024 in Portugal to This act established regular cash distributions to support long-term family care needs.
10,Caregiver Assistance Bill Amendment,Birth grants,DE,2016,The Caregiver Assistance Bill Amendment was enacted in 2016 in Germany to The law increased financial grants awarded to families upon the birth of a child.
11,Work-Life Balance Law Amendment,Parental leave (lump-sum),IT,2016,The Work-Life Balance Law Amendment was enacted in 2016 in Italy to This regulation provided lump-sum payments to parents taking extended leave from work.
12,Maternity Benefits Regulation Amendment,Maternity/childbirth benefits,PL,2019,The Maternity Benefits Regulation Amendment was enacted in 2019 in Poland to This law improved compensation rates for maternity-related medical and recovery costs.
13,Family Support Act Initiative,Maternity/childbirth benefits,HR,2022,The Family Support Act Initiative was enacted in 2022 in Croatia to This law improved compensation rates for maternity-related medical and recovery costs.
14,Adoption Support Act Regulation,Benefits in kind,ES,2016,"The Adoption Support Act Regulation was enacted in 2016 in Spain to It introduced subsidized goods and services for families, including transportation and food programs."
15,Work-Life Balance Law Directive,Benefits in kind,HR,2015,"The Work-Life Balance Law Directive was enacted in 2015 in Croatia to It introduced subsidized goods and services for families, including transportation and food programs."
16,Work-Life Balance Law Directive,Cash periodic,PT,2023,The Work-Life Balance Law Directive was enacted in 2023 in Portugal to This act established regular cash distributions to support long-term family care needs.
17,Caregiver Assistance Bill 2020,Other cash periodic,PL,2016,The Caregiver Assistance Bill 2020 was enacted in 2016 in Poland to It created new recurring financial aid programs for special family circumstances.
18,Social Protection Improvement Act Directive,Parental leave (periodic),NL,2023,The Social Protection Improvement Act Directive was enacted in 2023 in Netherlands to It introduced monthly support payments for parents on long-term parental leave.
19,Family Support Act Bill,Benefits in kind,DK,2022,"The Family Support Act Bill was enacted in 2022 in Denmark to It introduced subsidized goods and services for families, including transportation and food programs."
20,Birth Grant Regulation Bill,Cash periodic,CZ,2018,The Birth Grant Regulation Bill was enacted in 2018 in Czech Republic to This act established regular cash distributions to support long-term family care needs.
21,Birth Grant Regulation Initiative,Other benefits in kind,DK,2015,The Birth Grant Regulation Initiative was enacted in 2015 in Denmark to It enabled municipalities to offer localized non-cash services to vulnerable households.
22,Social Protection Improvement Act Framework,Cash benefits,ES,2016,The Social Protection Improvement Act Framework was enacted in 2016 in Spain to This law expanded eligibility for low-income families to receive monthly financial assistance.
23,Home-Based Support Initiative Directive,Parental leave (periodic),PL,2016,The Home-Based Support Initiative Directive was enacted in 2016 in Poland to It introduced monthly support payments for parents on long-term parental leave.
24,Lump-Sum Grant Law Initiative,Other benefits in kind,DE,2022,The Lump-Sum Grant Law Initiative was enacted in 2022 in Germany to It enabled municipalities to offer localized non-cash services to vulnerable households.
25,Lump-Sum Grant Law Initiative,Childcare services,AT,2025,The Lump-Sum Grant Law Initiative was enacted in 2025 in Austria to This directive expanded public childcare options and raised quality standards across providers.
26,Family Support Act Initiative,Other cash periodic,LV,2016,The Family Support Act Initiative was enacted in 2016 in Latvia to It created new recurring financial aid programs for special family circumstances.
27,Lump-Sum Grant Law Regulation,Maternity/childbirth benefits,HU,2017,The Lump-Sum Grant Law Regulation was enacted in 2017 in Hungary to This law improved compensation rates for maternity-related medical and recovery costs.
28,Housing Support Directive Bill,Benefits in kind,LV,2025,"The Housing Support Directive Bill was enacted in 2025 in Latvia to It introduced subsidized goods and services for families, including transportation and food programs."
29,Family Support Act Framework,Other lump-sum benefits,ES,2015,The Family Support Act Framework was enacted in 2015 in Spain to It included a range of targeted financial incentives for caregiving and emergency family support.
30,Caregiver Assistance Bill Amendment,Benefits in kind,LV,2016,"The Caregiver Assistance Bill Amendment was enacted in 2016 in Latvia to It introduced subsidized goods and services for families, including transportation and food programs."
31,Lump-Sum Grant Law 2020,Other lump-sum benefits,EE,2020,The Lump-Sum Grant Law 2020 was enacted in 2020 in Estonia to It included a range of targeted financial incentives for caregiving and emergency family support.
32,Early Childhood Services Act Framework,Childcare services,HU,2020,The Early Childhood Services Act Framework was enacted in 2020 in Hungary to This directive expanded public childcare options and raised quality standards across providers.
33,Caregiver Assistance Bill Amendment,Housing/accommodation,SE,2020,The Caregiver Assistance Bill Amendment was enacted in 2020 in Sweden to It introduced rental assistance and home subsidies for families with young children.
34,Work-Life Balance Law Initiative,Housing/accommodation,IE,2015,The Work-Life Balance Law Initiative was enacted in 2015 in Ireland to It introduced rental assistance and home subsidies for families with young children.
35,Caregiver Assistance Bill Directive,Childcare services,EE,2023,The Caregiver Assistance Bill Directive was enacted in 2023 in Estonia to This directive expanded public childcare options and raised quality standards across providers.
36,Cash Assistance Program Directive,Family allowance,NL,2020,The Cash Assistance Program Directive was enacted in 2020 in Netherlands to This act revised the family allowance system to include more flexible eligibility criteria.
37,Early Childhood Services Act Framework,Housing/accommodation,PL,2024,The Early Childhood Services Act Framework was enacted in 2024 in Poland to It introduced rental assistance and home subsidies for families with young children.
38,Parental Leave Reform Initiative,Maternity/childbirth benefits,BE,2016,The Parental Leave Reform Initiative was enacted in 2016 in Belgium to This law improved compensation rates for maternity-related medical and recovery costs.
39,Cash Assistance Program Bill,Parental leave (lump-sum),ES,2021,The Cash Assistance Program Bill was enacted in 2021 in Spain to This regulation provided lump-sum payments to parents taking extended leave from work.
40,Birth Grant Regulation Framework,Other lump-sum benefits,CZ,2018,The Birth Grant Regulation Framework was enacted in 2018 in Czech Republic to It included a range of targeted financial incentives for caregiving and emergency family support.
41,Birth Grant Regulation Directive,Birth grants,PL,2015,The Birth Grant Regulation Directive was enacted in 2015 in Poland to The law increased financial grants awarded to families upon the birth of a child.
42,Parental Leave Reform 2020,Benefits in kind,NL,2016,"The Parental Leave Reform 2020 was enacted in 2016 in Netherlands to It introduced subsidized goods and services for families, including transportation and food programs."
43,Family Support Act Bill,Cash periodic,ES,2024,The Family Support Act Bill was enacted in 2024 in Spain to This act established regular cash distributions to support long-term family care needs.
44,Work-Life Balance Law 2020,Benefits in kind,EE,2017,"The Work-Life Balance Law 2020 was enacted in 2017 in Estonia to It introduced subsidized goods and services for families, including transportation and food programs."
45,Social Protection Improvement Act Initiative,Social protection reporting,IE,2018,The Social Protection Improvement Act Initiative was enacted in 2018 in Ireland to It mandated annual reporting standards to monitor family welfare services nationwide.
46,Adoption Support Act Directive,Other benefits in kind,DK,2016,The Adoption Support Act Directive was enacted in 2016 in Denmark to It enabled municipalities to offer localized non-cash services to vulnerable households.
47,Caregiver Assistance Bill Directive,Birth grants,AT,2020,The Caregiver Assistance Bill Directive was enacted in 2020 in Austria to The law increased financial grants awarded to families upon the birth of a child.
48,Work-Life Balance Law Amendment,Family allowance,IT,2025,The Work-Life Balance Law Amendment was enacted in 2025 in Italy to This act revised the family allowance system to include more flexible eligibility criteria.
49,Children’s Welfare Act Initiative,Childcare services,NL,2019,The Children’s Welfare Act Initiative was enacted in 2019 in Netherlands to This directive expanded public childcare options and raised quality standards across providers.
50,Children’s Welfare Act Initiative,Cash benefits,GR,2022,The Children’s Welfare Act Initiative was enacted in 2022 in Greece to This law expanded eligibility for low-income families to receive monthly financial assistance.
51,Adoption Support Act Amendment,Lump-sum cash,PL,2015,The Adoption Support Act Amendment was enacted in 2015 in Poland to It provided one-time payments to families facing financial hardships during childbirth or adoption.
52,Adoption Support Act Framework,Parental leave (periodic),LV,2018,The Adoption Support Act Framework was enacted in 2018 in Latvia to It introduced monthly support payments for parents on long-term parental leave.
53,Parental Leave Reform Directive,Family allowance,HR,2024,The Parental Leave Reform Directive was enacted in 2024 in Croatia to This act revised the family allowance system to include more flexible eligibility criteria.
54,Cash Assistance Program Amendment,Other benefits in kind,LV,2015,The Cash Assistance Program Amendment was enacted in 2015 in Latvia to It enabled municipalities to offer localized non-cash services to vulnerable households.
55,Caregiver Assistance Bill Amendment,Social protection reporting,IE,2016,The Caregiver Assistance Bill Amendment was enacted in 2016 in Ireland to It mandated annual reporting standards to monitor family welfare services nationwide.
56,Maternity Benefits Regulation Bill,Parental leave (periodic),IT,2022,The Maternity Benefits Regulation Bill was enacted in 2022 in Italy to It introduced monthly support payments for parents on long-term parental leave.
57,Parental Leave Reform Initiative,Benefits in kind,DK,2015,"The Parental Leave Reform Initiative was enacted in 2015 in Denmark to It introduced subsidized goods and services for families, including transportation and food programs."
58,Lump-Sum Grant Law Amendment,Home-based support,HR,2020,The Lump-Sum Grant Law Amendment was enacted in 2020 in Croatia to The law provided in-home assistance services for caregiving families.
59,Caregiver Assistance Bill Framework,Housing/accommodation,HR,2017,The Caregiver Assistance Bill Framework was enacted in 2017 in Croatia to It introduced rental assistance and home subsidies for families with young children.
60,Family Support Act Initiative,Maternity/childbirth benefits,HR,2018,The Family Support Act Initiative was enacted in 2018 in Croatia to This law improved compensation rates for maternity-related medical and recovery costs.
61,Social Protection Improvement Act Framework,Cash benefits,EE,2025,The Social Protection Improvement Act Framework was enacted in 2025 in Estonia to This law expanded eligibility for low-income families to receive monthly financial assistance.
62,Lump-Sum Grant Law Amendment,Social protection reporting,FI,2024,The Lump-Sum Grant Law Amendment was enacted in 2024 in Finland to It mandated annual reporting standards to monitor family welfare services nationwide.
63,Adoption Support Act Amendment,Birth grants,PL,2019,The Adoption Support Act Amendment was enacted in 2019 in Poland to The law increased financial grants awarded to families upon the birth of a child.
64,Early Childhood Services Act Regulation,Other benefits in kind,FI,2023,The Early Childhood Services Act Regulation was enacted in 2023 in Finland to It enabled municipalities to offer localized non-cash services to vulnerable households.
65,Social Protection Improvement Act Regulation,Other cash periodic,GR,2023,The Social Protection Improvement Act Regulation was enacted in 2023 in Greece to It created new recurring financial aid programs for special family circumstances.
66,Birth Grant Regulation Bill,Birth grants,ES,2020,The Birth Grant Regulation Bill was enacted in 2020 in Spain to The law increased financial grants awarded to families upon the birth of a child.
67,Housing Support Directive Initiative,Housing/accommodation,AT,2021,The Housing Support Directive Initiative was enacted in 2021 in Austria to It introduced rental assistance and home subsidies for families with young children.
68,Home-Based Support Initiative Framework,Other benefits in kind,IE,2025,The Home-Based Support Initiative Framework was enacted in 2025 in Ireland to It enabled municipalities to offer localized non-cash services to vulnerable households.
69,Family Support Act Regulation,Benefits in kind,FI,2015,"The Family Support Act Regulation was enacted in 2015 in Finland to It introduced subsidized goods and services for families, including transportation and food programs."
70,Home-Based Support Initiative Amendment,Benefits in kind,PL,2017,"The Home-Based Support Initiative Amendment was enacted in 2017 in Poland to It introduced subsidized goods and services for families, including transportation and food programs."
71,Adoption Support Act 2020,Parental leave (periodic),HU,2016,The Adoption Support Act 2020 was enacted in 2016 in Hungary to It introduced monthly support payments for parents on long-term parental leave.
72,Parental Leave Reform 2020,Benefits in kind,IE,2015,"The Parental Leave Reform 2020 was enacted in 2015 in Ireland to It introduced subsidized goods and services for families, including transportation and food programs."
73,Family Allowance Reform Initiative,Maternity/childbirth benefits,IE,2023,The Family Allowance Reform Initiative was enacted in 2023 in Ireland to This law improved compensation rates for maternity-related medical and recovery costs.
74,Home-Based Support Initiative Bill,Other lump-sum benefits,CZ,2022,The Home-Based Support Initiative Bill was enacted in 2022 in Czech Republic to It included a range of targeted financial incentives for caregiving and emergency family support.
75,Lump-Sum Grant Law Initiative,Maternity/childbirth benefits,FR,2018,The Lump-Sum Grant Law Initiative was enacted in 2018 in France to This law improved compensation rates for maternity-related medical and recovery costs.
76,Early Childhood Services Act Regulation,Other benefits in kind,LV,2017,The Early Childhood Services Act Regulation was enacted in 2017 in Latvia to It enabled municipalities to offer localized non-cash services to vulnerable households.
77,Childcare Enhancement Law Bill,Childcare services,DE,2019,The Childcare Enhancement Law Bill was enacted in 2019 in Germany to This directive expanded public childcare options and raised quality standards across providers.
78,Cash Assistance Program Initiative,Housing/accommodation,EE,2025,The Cash Assistance Program Initiative was enacted in 2025 in Estonia to It introduced rental assistance and home subsidies for families with young children.
79,Adoption Support Act Directive,Lump-sum cash,HR,2018,The Adoption Support Act Directive was enacted in 2018 in Croatia to It provided one-time payments to families facing financial hardships during childbirth or adoption.
80,Cash Assistance Program 2020,Maternity/childbirth benefits,SE,2017,The Cash Assistance Program 2020 was enacted in 2017 in Sweden to This law improved compensation rates for maternity-related medical and recovery costs.
81,Lump-Sum Grant Law Directive,Family allowance,HR,2018,The Lump-Sum Grant Law Directive was enacted in 2018 in Croatia to This act revised the family allowance system to include more flexible eligibility criteria.
82,Family Support Act Framework,Cash periodic,LT,2022,The Family Support Act Framework was enacted in 2022 in Lithuania to This act established regular cash distributions to support long-term family care needs.
83,Early Childhood Services Act 2020,Other benefits in kind,ES,2021,The Early Childhood Services Act 2020 was enacted in 2021 in Spain to It enabled municipalities to offer localized non-cash services to vulnerable households.
84,Maternity Benefits Regulation Amendment,Other benefits in kind,PT,2017,The Maternity Benefits Regulation Amendment was enacted in 2017 in Portugal to It enabled municipalities to offer localized non-cash services to vulnerable households.
85,Family Allowance Reform Framework,Other benefits in kind,PL,2019,The Family Allowance Reform Framework was enacted in 2019 in Poland to It enabled municipalities to offer localized non-cash services to vulnerable households.
