country_code,Country,year,birth_rate_per_thousand,price_index,cash_per_capita,maternity_per_capita,services_per_capita,weekly_hours
AT,Austria,2015,9.8,112.4,43410.79,,16435.35,36.3
AT,Austria,2016,10.0,76.7,43853.29,0.0,17313.75,36.25
AT,Austria,2017,10.0,83.9,43898.8,,17594.02,36.1
AT,Austria,2018,9.7,61.6,44141.21,0.0,17836.76,36.2
AT,Austria,2019,9.6,84.5,43439.37,0.0,18764.34,36.2
AT,Austria,2020,9.4,,47175.58,,20157.49,36.15
AT,Austria,2021,9.6,121.8,43331.56,0.0,20862.31,35.6
AT,Austria,2022,9.1,55.9,45654.13,,21089.56,35.4
AT,Austria,2023,8.5,97.3,,,,35.35
AT,Austria,2024,,,,,,35.15
BE,Belgium,2015,10.8,94.8,45368.78,847.7,8758.6,36.85
BE,Belgium,2016,10.8,97.8,45385.98,811.84,9353.9,36.8
BE,Belgium,2017,10.5,132.0,46196.79,802.0,9387.88,37.25
BE,Belgium,2018,10.4,109.3,46413.69,773.26,9462.84,37.0
BE,Belgium,2019,10.2,61.1,47915.24,828.48,10315.6,37.0
BE,Belgium,2020,9.9,123.2,49351.87,734.98,12306.08,37.0
BE,Belgium,2021,10.2,170.0,49120.18,766.44,12183.28,36.4
BE,Belgium,2022,9.8,62.1,49247.91,720.32,12506.82,36.35
BE,Belgium,2023,9.4,47.3,,,,36.05
BE,Belgium,2024,,,,,,35.9
BG,Bulgaria,2015,9.4,95.3,3486.92,84.48,1985.76,40.8
BG,Bulgaria,2016,9.4,96.9,3388.97,85.28,1997.78,40.8
BG,Bulgaria,2017,9.4,137.4,3469.19,81.18,2164.94,40.75
BG,Bulgaria,2018,9.3,110.4,3601.66,78.6,2152.62,40.65
BG,Bulgaria,2019,9.3,85.6,3553.55,75.4,2244.3,40.45
BG,Bulgaria,2020,9.0,124.8,3629.69,69.32,2331.34,40.35
BG,Bulgaria,2021,9.0,168.2,3677.77,69.86,2569.06,40.35
BG,Bulgaria,2022,8.8,49.1,3794.2,63.14,3275.62,40.15
BG,Bulgaria,2023,8.9,44.9,,,,40.0
BG,Bulgaria,2024,,,,,,39.9
CY,Cyprus,2015,10.6,112.0,2202.86,48.1,371.11,39.5
CY,Cyprus,2016,10.9,93.0,2274.51,56.5,365.26,39.15
CY,Cyprus,2017,10.6,67.4,2219.1,57.5,374.92,39.2
CY,Cyprus,2018,10.5,57.6,2266.91,52.04,407.58,39.25
CY,Cyprus,2019,10.7,89.5,2161.51,44.94,297.66,39.25
CY,Cyprus,2020,10.9,161.8,2611.8,32.68,232.94,38.95
CY,Cyprus,2021,11.2,142.6,2253.42,57.04,365.65,38.65
CY,Cyprus,2022,10.9,54.0,2242.63,54.02,250.56,39.05
CY,Cyprus,2023,10.7,56.5,,,,39.55
CY,Cyprus,2024,,,,,,39.55
CZ,Czechia,2015,10.5,94.7,16129.23,60.26,1206.08,40.25
CZ,Czechia,2016,10.7,96.0,16525.25,60.1,1297.88,40.15
CZ,Czechia,2017,10.8,138.7,17137.69,50.6,1385.04,39.95
CZ,Czechia,2018,10.7,111.6,18649.96,40.04,1758.6,39.95
CZ,Czechia,2019,10.5,85.4,18443.96,29.78,2635.12,39.85
CZ,Czechia,2020,10.3,128.7,20756.35,22.78,2188.1,39.75
CZ,Czechia,2021,10.6,164.7,20572.73,20.54,2368.1,39.25
CZ,Czechia,2022,9.5,48.9,20775.28,17.78,2476.7,39.35
CZ,Czechia,2023,8.4,42.2,,,,39.1
CZ,Czechia,2024,,,,,,38.9
DE,Germany,2015,9.0,96.0,358482.68,0.0,209172.38,34.85
DE,Germany,2016,9.6,92.2,362626.72,0.0,231254.72,34.85
DE,Germany,2017,9.5,134.0,368630.73,0.0,246222.98,34.7
DE,Germany,2018,9.5,113.2,377567.79,0.0,256283.58,34.6
DE,Germany,2019,9.4,86.0,383426.93,0.0,273590.74,34.55
DE,Germany,2020,9.3,114.3,420723.18,0.0,293943.92,34.4
DE,Germany,2021,9.6,165.0,421671.16,0.0,304395.18,34.55
DE,Germany,2022,8.9,48.1,407370.98,0.0,309751.58,34.45
DE,Germany,2023,8.3,43.4,,,,34.15
DE,Germany,2024,,,,,,33.95
DK,Denmark,2015,10.2,96.4,24434.52,0.0,39786.68,33.55
DK,Denmark,2016,10.8,94.7,25233.92,0.0,39733.34,33.25
DK,Denmark,2017,10.6,137.1,25263.9,0.0,40312.74,33.3
DK,Denmark,2018,10.6,112.2,25422.26,0.0,41000.58,33.35
DK,Denmark,2019,10.5,86.1,25433.6,0.0,41073.81,33.15
DK,Denmark,2020,10.4,122.7,26040.64,0.0,41841.26,33.3
DK,Denmark,2021,10.8,158.9,25782.06,0.0,42734.15,34.25
DK,Denmark,2022,9.9,48.3,24558.42,,42344.89,33.95
DK,Denmark,2023,9.7,41.4,,,,33.6
DK,Denmark,2024,,,,,,33.0
EE,Estonia,2015,10.6,97.8,3509.16,38.44,83.74,38.6
EE,Estonia,2016,10.7,89.5,3833.54,37.84,74.2,38.35
EE,Estonia,2017,10.5,62.6,3913.92,34.98,82.1,38.45
EE,Estonia,2018,10.9,111.7,4650.5,35.94,89.58,38.25
EE,Estonia,2019,10.6,86.9,4925.62,33.94,80.82,38.05
EE,Estonia,2020,9.9,114.0,5026.1,34.06,89.62,37.9
EE,Estonia,2021,10.0,171.5,4962.6,31.74,91.82,37.65
EE,Estonia,2022,8.6,47.9,4561.28,24.24,91.66,37.4
EE,Estonia,2023,8.0,,,,,37.3
EE,Estonia,2024,,,,,,37.35
EL,Greece,2015,8.5,93.6,10804.95,32.54,1126.08,41.75
EL,Greece,2016,8.6,90.9,10753.21,34.7,876.66,41.8
EL,Greece,2017,8.2,60.3,15433.33,5.94,872.92,41.55
EL,Greece,2018,8.1,108.8,18163.18,5.66,1046.52,41.55
EL,Greece,2019,7.8,87.1,14731.02,3.68,1259.41,41.35
EL,Greece,2020,7.9,125.3,13919.0,716.31,1086.02,41.4
EL,Greece,2021,8.1,172.9,15242.75,986.96,1320.7,41.0
EL,Greece,2022,7.3,49.9,16039.8,892.72,1096.63,40.6
EL,Greece,2023,6.8,53.2,,,,40.65
EL,Greece,2024,,,,,,40.75
ES,Spain,2015,9.0,91.1,34849.46,317.57,48158.76,37.55
ES,Spain,2016,8.8,91.3,35767.11,311.3,47927.4,37.5
ES,Spain,2017,8.4,61.4,37215.24,301.71,50422.56,37.45
ES,Spain,2018,7.9,111.7,38434.07,289.57,52727.15,37.45
ES,Spain,2019,7.6,86.9,41408.85,279.86,55862.17,37.25
ES,Spain,2020,7.2,136.1,44354.88,178.75,59887.71,37.3
ES,Spain,2021,7.1,173.7,46263.86,220.73,62097.15,37.2
ES,Spain,2022,6.9,49.8,47444.93,192.94,64999.24,37.45
ES,Spain,2023,6.6,52.8,,,,37.45
ES,Spain,2024,,,,,,37.35
EU27,EU Average,2015,10.1074,97.0111,,,,
EU27,EU Average,2016,10.1815,83.4222,,,,
EU27,EU Average,2017,9.9963,85.9222,,,,
EU27,EU Average,2018,9.8296,82.6704,,,,
EU27,EU Average,2019,9.6259,85.337,,,,
EU27,EU Average,2020,9.4259,140.0412,,,,
EU27,EU Average,2021,9.5444,123.0333,,,,
EU27,EU Average,2022,8.9333,52.8333,,,,
EU27,EU Average,2023,8.4889,76.8917,,,,
EU27,EU Average,2024,,,,,,
FI,Finland,2015,10.1,68.5,20273.46,68.34,23102.38,36.8
FI,Finland,2016,9.6,65.5,19890.95,61.54,23618.16,36.6
FI,Finland,2017,9.1,89.6,19023.44,58.94,23943.32,36.65
FI,Finland,2018,8.6,87.3,18506.66,60.7,25496.3,36.65
FI,Finland,2019,8.3,125.0,18017.12,61.98,27123.82,36.5
FI,Finland,2020,8.4,,18575.04,66.4,27473.82,36.45
FI,Finland,2021,9.0,53.3,18430.58,62.88,28496.26,35.3
FI,Finland,2022,8.1,51.2,18375.96,57.54,29261.42,35.1
FI,Finland,2023,7.8,124.8,,,,35.1
FI,Finland,2024,,,,,,35.25
FR,France,2015,12.0,111.9,199893.33,2417.33,124643.46,37.15
FR,France,2016,11.8,90.7,197374.8,3662.28,126947.56,37.2
FR,France,2017,11.5,62.4,196577.68,3537.85,129644.21,37.1
FR,France,2018,11.3,57.6,195541.63,3411.22,130002.61,37.15
FR,France,2019,11.2,87.3,193280.0,3282.73,132535.82,37.35
